player_id,market_value_in_eur,log_market_value,valuation_date,current_club_name,comp_id
35773,2500000,14.731801689838349,2023-08-22,Los Angeles FC,ES1
35805,25000,10.12667110305036,2023-11-15,Universidad San Martín de Porres,IT1
35865,800000,13.592368256649284,2024-06-05,US Sassuolo,IT1
36182,500000,13.122365377402328,2023-10-20,SC Paderborn 07,L1
36898,200000,12.206077645517674,2024-06-06,FC St. Pauli,L1
37295,50000,10.819798284210286,2023-11-24,HJK Helsinki,IT1
37418,200000,12.206077645517674,2023-11-27,Criciúma Esporte Clube,IT1
37579,700000,13.45883704259595,2023-07-25,São Paulo Futebol Clube,ES1
37834,400000,12.899222326086994,2023-10-25,Without Club,IT1
37838,1200000,13.997832948091215,2024-06-03,Olympique Lyon,FR1
38253,15000000,16.52356082573315,2024-06-07,FC Barcelona,ES1
38410,400000,12.899222326086994,2023-10-25,Without Club,L1
38607,1400000,14.151983508870947,2024-06-03,Palermo FC,IT1
39152,800000,13.592368256649284,2024-06-07,Rayo Vallecano,ES1
39259,500000,13.122365377402328,2024-05-29,Eintracht Frankfurt,L1
39306,150000,11.918397239722838,2023-10-25,Without Club,L1
39378,300000,12.611541086966115,2023-10-25,Without Club,GB1
39471,100000,11.51293546492023,2023-08-22,Atlanta United FC,GB1
39728,5000000,15.424948670398354,2024-05-29,Borussia Dortmund,L1
39918,200000,12.206077645517674,2024-06-11,Amiens SC,FR1
39983,1500000,14.220976332738882,2023-12-14,1.FC Union Berlin,L1
40034,200000,12.206077645517674,2024-05-29,Eintracht Frankfurt,L1
40074,300000,12.611541086966115,2023-10-25,Without Club,L1
40423,800000,13.592368256649284,2024-06-07,Real Betis Balompié,ES1
40429,50000,10.819798284210286,2023-07-20,Coquimbo Unido,L1
40433,2500000,14.731801689838349,2024-06-05,Inter Milan,IT1
40611,500000,13.122365377402328,2023-10-25,Without Club,GB1
40613,800000,13.592368256649284,2024-05-27,Burnley FC,GB1
40633,800000,13.592368256649284,2024-06-05,Genoa CFC,IT1
40680,700000,13.45883704259595,2024-05-29,Bayern Munich,L1
40792,600000,13.304686600863562,2024-05-29,VfL Bochum,L1
40822,250000,12.429220196836383,2023-07-04,Club Estudiantes de La Plata,IT1
41323,300000,12.611541086966115,2024-05-29,VfL Bochum,L1
41384,4000000,15.201805169084134,2024-06-05,Inter Milan,IT1
41541,250000,12.429220196836383,2023-10-25,Without Club,L1
41912,75000,11.225256725762893,2024-06-05,Cagliari Calcio,IT1
42072,500000,13.122365377402328,2024-05-29,SV Darmstadt 98,L1
42086,100000,11.51293546492023,2023-12-05,DSV Leoben,L1
42203,100000,11.51293546492023,2023-10-19,BSC Young Boys,L1
42205,5000000,15.424948670398354,2024-06-05,Inter Milan,IT1
42373,150000,11.918397239722838,2023-10-25,Without Club,ES1
42412,2000000,14.508658238524095,2024-05-27,Manchester United,GB1
42460,4000000,15.201805169084134,2023-12-19,Tottenham Hotspur,GB1
42783,800000,13.592368256649284,2023-10-25,Without Club,L1
43217,100000,11.51293546492023,2024-06-05,Frosinone Calcio,IT1
43530,1000000,13.815511557963774,2024-05-27,Brighton & Hove Albion,GB1
43824,1000000,13.815511557963774,2024-05-29,1.FC Heidenheim 1846,L1
44017,1500000,14.220976332738882,2023-11-27,Qatar SC,L1
44058,6000000,15.607270193858982,2024-06-05,Juventus FC,IT1
44466,1000000,13.815511557963774,2024-05-29,Eintracht Frankfurt,L1
44983,250000,12.429220196836383,2023-10-25,Without Club,GB1
45026,1000000,13.815511557963774,2024-06-05,AS Roma,IT1
45314,400000,12.899222326086994,2024-06-05,US Salernitana 1919,IT1
45403,1000000,13.815511557963774,2024-06-03,Le Havre AC,FR1
45494,250000,12.429220196836383,2024-05-27,Nottingham Forest,GB1
45599,300000,12.611541086966115,2023-10-04,Racing Club,L1
45660,2500000,14.731801689838349,2024-05-29,Bayern Munich,L1
45662,300000,12.611541086966115,2023-10-19,MSV Duisburg,L1
45672,4000000,15.201805169084134,2024-05-29,Eintracht Frankfurt,L1
45683,1500000,14.220976332738882,2024-05-29,SC Freiburg,L1
45685,200000,12.206077645517674,2023-10-19,FC Zürich,L1
46001,1200000,13.997832948091215,2024-06-03,FC Nantes,FR1
46179,175000,12.07254696717504,2023-10-19,SpVgg Unterhaching,L1
46413,5000000,15.424948670398354,2024-06-07,CA Osasuna,ES1
46580,5000000,15.424948670398354,2024-05-29,TSG 1899 Hoffenheim,L1
47587,400000,12.899222326086994,2024-05-29,Borussia Mönchengladbach,L1
47713,1500000,14.220976332738882,2023-10-16,Montpellier HSC,FR1
48002,700000,13.45883704259595,2024-05-27,West Ham United,GB1
48015,2500000,14.731801689838349,2024-05-29,Bayer 04 Leverkusen,L1
48859,1500000,14.220976332738882,2024-06-05,AC Milan,IT1
49542,200000,12.206077645517674,2023-08-22,Los Angeles Galaxy,GB1
49693,900000,13.710151153416941,2024-05-24,West Bromwich Albion,GB1
49723,500000,13.122365377402328,2024-05-29,Eintracht Frankfurt,L1
50104,125000,11.736077016252437,2024-06-28,Reading FC,GB1
50174,500000,13.122365377402328,2023-10-25,Without Club,GB1
50487,200000,12.206077645517674,2023-07-19,Universidad Central de Venezuela,ES1
50617,450000,13.017005083966255,2023-09-07,Vålerenga Fotball Elite,IT1
50935,1000000,13.815511557963774,2023-08-22,Los Angeles Galaxy,GB1
51174,2500000,14.731801689838349,2023-12-22,Sevilla FC,ES1
51226,250000,12.429220196836383,2023-07-04,CA San Lorenzo de Almagro,GB1
51321,300000,12.611541086966115,2024-05-27,AFC Bournemouth,GB1
51356,175000,12.07254696717504,2023-10-20,Bandirmaspor,L1
51471,30000000,17.216707972959764,2024-05-27,Manchester City,GB1
51510,600000,13.304686600863562,2023-10-13,CD Tenerife,ES1
51710,700000,13.45883704259595,2023-10-25,Without Club,ES1
51716,150000,11.918397239722838,2023-07-25,América Futebol Clube (MG),GB1
51726,100000,11.51293546492023,2023-10-13,Coruxo FC,ES1
51736,400000,12.899222326086994,2024-06-05,Cagliari Calcio,IT1
51977,300000,12.611541086966115,2024-05-29,VfL Wolfsburg,L1
52059,1000000,13.815511557963774,2024-05-27,Brentford FC,GB1
52266,25000,10.12667110305036,2023-07-10,CA River Plate Montevideo,IT1
52328,25000,10.12667110305036,2023-12-04,CSD Tristan Suarez,IT1
52495,300000,12.611541086966115,2024-05-27,Sheffield United,GB1
52570,1200000,13.997832948091215,2024-05-27,Tottenham Hotspur,GB1
52647,50000,10.819798284210286,2023-11-27,Clube de Regatas Brasil (AL),ES1
52744,100000,11.51293546492023,2023-10-25,Without Club,FR1
52769,3000000,14.914123179965662,2024-05-27,Fulham FC,GB1
52893,100000,11.51293546492023,2023-07-18,Without Club,IT1
52903,50000,10.819798284210286,2023-07-04,CA Banfield,IT1
52999,25000,10.12667110305036,2023-11-10,Vancouver FC,IT1
53360,1000000,13.815511557963774,2024-05-27,Burnley FC,GB1
53418,3500000,15.068273812173887,2024-05-29,RB Leipzig,L1
53477,425000,12.959846800844963,2023-07-21,Club Deportivo Oriente Petrolero,IT1
53622,15000000,16.52356082573315,2024-06-07,FC Barcelona,ES1
54217,200000,12.206077645517674,2024-06-07,Granada CF,ES1
54235,5000000,15.424948670398354,2024-06-07,Athletic Bilbao,ES1
54383,900000,13.710151153416941,2023-12-19,Sheffield United,GB1
54534,1000000,13.815511557963774,2023-12-22,Celta de Vigo,ES1
54576,600000,13.304686600863562,2023-08-22,Portland Timbers,GB1
54774,100000,11.51293546492023,2023-10-13,Orihuela CF,ES1
54845,200000,12.206077645517674,2023-10-04,Racing Club,IT1
54846,500000,13.122365377402328,2024-05-29,SV Darmstadt 98,L1
54906,4000000,15.201805169084134,2024-06-05,Inter Milan,IT1
54928,300000,12.611541086966115,2023-07-04,CA Vélez Sarsfield,IT1
54935,250000,12.429220196836383,2023-08-22,Los Angeles Galaxy,IT1
55000,150000,11.918397239722838,2024-06-05,US Salernitana 1919,IT1
55089,3000000,14.914123179965662,2024-05-29,TSG 1899 Hoffenheim,L1
55099,2000000,14.508658238524095,2024-05-29,SC Freiburg,L1
55156,150000,11.918397239722838,2023-07-06,Venados FC Yucatán,IT1
55215,400000,12.899222326086994,2023-10-25,Without Club,ES1
55240,100000,11.51293546492023,2023-10-13,Real Avilés Industrial,ES1
55508,500000,13.122365377402328,2024-06-06,Holstein Kiel,L1
55512,100000,11.51293546492023,2023-10-15,Union Titus Petange,L1
55735,6000000,15.607270193858982,2024-06-05,Inter Milan,IT1
55742,400000,12.899222326086994,2024-05-27,Nottingham Forest,GB1
55769,1000000,13.815511557963774,2024-06-05,AC Monza,IT1
55884,100000,11.51293546492023,2023-07-04,CA Newell's Old Boys,ES1
55895,100000,11.51293546492023,2023-07-04,CA Newell's Old Boys,IT1
55911,10000,9.210440366976517,2023-12-04,Quilmes Atlético Club,IT1
55957,10000,9.210440366976517,2023-07-10,La Luz Futbol Club,IT1
56067,400000,12.899222326086994,2023-07-04,Club Estudiantes de La Plata,ES1
56809,500000,13.122365377402328,2024-06-03,FC Metz,FR1
57071,3000000,14.914123179965662,2024-05-29,RB Leipzig,L1
57091,250000,12.429220196836383,2023-10-19,VfB Lübeck,L1
57134,150000,11.918397239722838,2024-06-03,RC Strasbourg Alsace,FR1
57216,250000,12.429220196836383,2024-06-03,FC Metz,FR1
57229,800000,13.592368256649284,2023-07-25,Sport Club Corinthians Paulista,ES1
57280,3000000,14.914123179965662,2024-06-05,ACF Fiorentina,IT1
57488,75000,11.225256725762893,2023-11-29,Monterey Bay FC,GB1
57500,2000000,14.508658238524095,2024-06-07,Atlético de Madrid,ES1
57598,400000,12.899222326086994,2024-05-29,SV Darmstadt 98,L1
57785,100000,11.51293546492023,2023-09-11,Marino Luanco,ES1
57796,250000,12.429220196836383,2024-05-29,1.FC Heidenheim 1846,L1
57935,500000,13.122365377402328,2023-10-13,Racing Ferrol,ES1
58330,400000,12.899222326086994,2024-06-07,Granada CF,ES1
58358,8000000,15.894952224644102,2024-05-29,Bayern Munich,L1
58396,300000,12.611541086966115,2024-05-29,SV Werder Bremen,L1
58500,500000,13.122365377402328,2023-08-22,New York City FC,L1
58576,700000,13.45883704259595,2023-10-03,CF América,ES1
58799,200000,12.206077645517674,2023-10-13,Deportivo de La Coruña,ES1
58864,5000000,15.424948670398354,2024-06-03,Olympique Marseille,FR1
58884,3000000,14.914123179965662,2024-06-07,Real Madrid,ES1
58995,1000000,13.815511557963774,2024-05-29,SV Werder Bremen,L1
59016,20000000,16.811242881518265,2024-06-07,Real Madrid,ES1
59323,1800000,14.403297778421795,2024-06-07,Girona FC,ES1
59340,250000,12.429220196836383,2023-10-25,Without Club,IT1
59344,2000000,14.508658238524095,2023-08-22,FC Dallas,ES1
59349,300000,12.611541086966115,2024-06-07,UD Almería,ES1
59551,500000,13.122365377402328,2023-10-13,Real Murcia CF,ES1
59561,2500000,14.731801689838349,2024-06-07,Villarreal CF,ES1
60394,600000,13.304686600863562,2023-10-20,1.FC Kaiserslautern,L1
60410,4000000,15.201805169084134,2024-06-07,Sevilla FC,ES1
60444,10000000,16.118095750958314,2024-05-27,Liverpool FC,GB1
60542,700000,13.45883704259595,2024-06-03,Clermont Foot 63,FR1
60543,200000,12.206077645517674,2024-06-03,Le Havre AC,FR1
60561,4000000,15.201805169084134,2024-06-03,Olympique Lyon,FR1
