,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
37,Dapo Afolayan,eng ENG,MF,St Pauli,de Bundesliga,28-213,1997,1.7,,,,,,,,,,,,,,,,,,,,,Matches
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-299,1997,12.2,,,,,,,,,,,,,,,,,,,,,Matches
39,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25-107,2000,18,,,,,,,,,,,,,,,,,,,,,Matches
40,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,24-062,2002,23.9,,,,,,,,,,,,,,,,,,,,,Matches
41,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,26-197,1999,7.4,,,,,,,,,,,,,,,,,,,,,Matches
42,Diego Aguado,es ESP,DF,Real Madrid,es La Liga,19-064,2007,0.3,,,,,,,,,,,,,,,,,,,,,Matches
43,Marc Aguado,es ESP,MF,Elche,es La Liga,26-049,2000,22.3,,,,,,,,,,,,,,,,,,,,,Matches
44,Pablo Agudín,es ESP,MF,Oviedo,es La Liga,18-155,2007,0.9,,,,,,,,,,,,,,,,,,,,,Matches
45,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,30-013,1996,15.5,,,,,,,,,,,,,,,,,,,,,Matches
46,Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,30-013,1996,2,,,,,,,,,,,,,,,,,,,,,Matches
47,Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,32-351,1993,16.7,,,,,,,,,,,,,,,,,,,,,Matches
48,Ibai Aguirre,es ESP,MF,Real Sociedad,es La Liga,19-092,2007,0.1,,,,,,,,,,,,,,,,,,,,,Matches
49,Naouirou Ahamada,fr FRA,MF,Auxerre,fr Ligue 1,24-014,2002,4.3,,,,,,,,,,,,,,,,,,,,,Matches
50,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,18-048,2008,11.5,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
51,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,31-072,1995,10.8,,,,,,,,,,,,,,,,,,,,,Matches
52,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-195,1995,6.1,,,,,,,,,,,,,,,,,,,,,Matches
53,Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,29-186,1996,14.7,,,,,,,,,,,,,,,,,,,,,Matches
